FirstModel	SecondModel
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.6	0.39
0.61	0.43
0.63	0.49
0.36	0.085
0.37	0.1
0.19	0
0.2	0
0	0
0	0
0	0
0	0
0	0
0.01	0
0.03	0
0.21	0
0.49	0.2
0.52	0.24
0.53	0.27
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.11	0
0.12	0
0.65	0.58
0.66	0.63
0.7	0.7
0.71	0.72
0.72	0.73
0.4	0.13
0	0
0	0
0	0
0.9575	1
0.9625	1
0.97	1
0.99	1
1	1
1	1
1	1
0.8775	1
0.88	1
0.89	1
0.9	1
0.905	1
0.9075	1
0.91	1
0.9225	1
0.925	1
0.93	1
0.94	1
0.945	1
0.946	1
0.05	0
0.05	0
0.09	0
0.1	0
0.27	0.0225
0.29	0.03
0.3	0.04
0.31	0.06
0.35	0.07
0.13	0
0.95	1
1	1
1	1
1	1
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0.23	0.01
0.25	0.015
0.42	0.14
0.45	0.155
0.47	0.17
0	0
0	0
0	0
0.75	0.76
0.755	0.77
0.76	0.775
0.77	0.79
0.78	0.82
0.785	0.83
0.79	0.86
0.8	0.89
0.81	0.9
0.815	0.91
0.8175	0.925
0.82	0.93
0.8275	0.95
0.83	0.98
0.836	0.99
0	0
0	0
0	0
0	0
0	0
0	0
0.55	0.29
0.58	0.35
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.05	0
0.16	0
0.17	0
0.74	0.755
0.84	1
0.86	1
0.865	1
1	1
1	1
1	1
1	1
1	1
