ClassificationThreshold	0.00	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.19	0.20	0.21	0.22	0.23	0.24	0.25	0.26	0.27	0.28	0.29	0.30	0.31	0.32	0.33	0.34	0.35	0.36	0.37	0.38	0.39	0.40	0.41	0.42	0.43	0.44	0.45	0.46	0.47	0.48	0.49	0.50	0.51	0.52	0.53	0.54	0.55	0.56	0.57	0.58	0.59	0.60	0.61	0.62	0.63	0.64	0.65	0.66	0.67	0.68	0.69	0.70	0.71	0.72	0.73	0.74	0.75	0.76	0.77	0.78	0.79	0.80	0.81	0.82	0.83	0.84	0.85	0.86	0.87	0.88	0.89	0.90	0.91	0.92	0.93	0.94	0.95	0.96	0.97	0.98	0.99	1.00
Fold1	59,896,0,0	896,35,24,0	896,35,24,0	896,33,26,0	896,30,29,0	896,29,30,0	896,27,32,0	896,27,32,0	896,26,33,0	896,26,33,0	896,24,35,0	896,24,35,0	896,23,36,0	896,22,37,0	896,22,37,0	895,22,37,1	895,22,37,1	895,20,39,1	895,19,40,1	895,19,40,1	895,19,40,1	895,19,40,1	895,19,40,1	895,18,41,1	895,18,41,1	895,18,41,1	895,18,41,1	895,17,42,1	895,17,42,1	895,17,42,1	895,17,42,1	895,17,42,1	895,17,42,1	895,16,43,1	895,16,43,1	895,16,43,1	895,16,43,1	895,16,43,1	895,16,43,1	895,16,43,1	895,16,43,1	895,15,44,1	895,15,44,1	895,14,45,1	895,13,46,1	895,13,46,1	895,12,47,1	895,11,48,1	895,11,48,1	895,11,48,1	895,11,48,1	895,11,48,1	895,10,49,1	895,10,49,1	895,10,49,1	895,10,49,1	895,10,49,1	895,10,49,1	895,10,49,1	895,10,49,1	895,10,49,1	895,9,50,1	895,9,50,1	895,9,50,1	895,9,50,1	895,9,50,1	895,9,50,1	895,8,51,1	895,8,51,1	895,8,51,1	895,8,51,1	895,8,51,1	895,8,51,1	895,8,51,1	895,8,51,1	895,7,52,1	895,7,52,1	895,7,52,1	895,7,52,1	895,7,52,1	895,6,53,1	895,5,54,1	895,5,54,1	895,5,54,1	895,5,54,1	895,5,54,1	895,4,55,1	895,3,56,1	895,2,57,1	895,2,57,1	895,2,57,1	895,2,57,1	895,1,58,1	895,1,58,1	895,1,58,1	895,1,58,1	895,1,58,1	895,1,58,1	895,0,59,1	894,0,59,2	0,0,59,896	
Fold2	60,896,0,0	896,39,21,0	896,34,26,0	896,34,26,0	896,34,26,0	896,33,27,0	896,33,27,0	896,32,28,0	896,31,29,0	896,30,30,0	896,30,30,0	896,29,31,0	896,29,31,0	896,29,31,0	896,29,31,0	896,29,31,0	896,27,33,0	896,26,34,0	896,26,34,0	896,26,34,0	896,26,34,0	896,26,34,0	896,26,34,0	896,26,34,0	896,25,35,0	896,25,35,0	896,25,35,0	896,25,35,0	896,22,38,0	896,21,39,0	896,21,39,0	896,21,39,0	896,21,39,0	896,21,39,0	896,21,39,0	896,21,39,0	896,20,40,0	896,20,40,0	896,19,41,0	896,19,41,0	896,19,41,0	896,19,41,0	896,19,41,0	896,19,41,0	896,18,42,0	896,18,42,0	896,18,42,0	896,18,42,0	896,18,42,0	896,18,42,0	896,18,42,0	896,18,42,0	896,16,44,0	896,14,46,0	896,14,46,0	896,14,46,0	896,14,46,0	896,13,47,0	896,13,47,0	896,12,48,0	896,12,48,0	896,11,49,0	896,11,49,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,9,51,0	896,8,52,0	896,8,52,0	896,8,52,0	896,7,53,0	896,7,53,0	896,7,53,0	896,7,53,0	896,7,53,0	896,6,54,0	896,6,54,0	896,6,54,0	896,5,55,0	896,5,55,0	896,4,56,0	896,4,56,0	896,3,57,0	896,3,57,0	896,2,58,0	896,2,58,0	896,2,58,0	896,2,58,0	896,2,58,0	896,2,58,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,0,60,0	896,0,60,0	896,0,60,0	0,0,60,896	
Fold3	60,896,0,0	896,35,25,0	896,34,26,0	896,33,27,0	896,32,28,0	896,30,30,0	896,30,30,0	896,30,30,0	896,29,31,0	896,29,31,0	896,29,31,0	896,29,31,0	896,28,32,0	896,28,32,0	896,28,32,0	896,27,33,0	896,27,33,0	896,27,33,0	896,27,33,0	896,27,33,0	896,27,33,0	896,27,33,0	896,27,33,0	896,27,33,0	896,26,34,0	896,25,35,0	896,25,35,0	896,24,36,0	896,20,40,0	896,20,40,0	896,20,40,0	896,20,40,0	896,20,40,0	896,20,40,0	896,19,41,0	896,18,42,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,16,44,0	896,15,45,0	896,14,46,0	896,14,46,0	896,12,48,0	896,12,48,0	896,12,48,0	896,12,48,0	896,12,48,0	896,12,48,0	896,12,48,0	896,12,48,0	896,12,48,0	896,12,48,0	896,12,48,0	896,12,48,0	896,12,48,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,9,51,0	896,8,52,0	896,6,54,0	896,6,54,0	896,6,54,0	896,6,54,0	896,6,54,0	896,4,56,0	896,3,57,0	896,3,57,0	896,3,57,0	896,3,57,0	896,3,57,0	896,2,58,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,0,60,0	896,0,60,0	896,0,60,0	896,0,60,0	896,0,60,0	895,0,60,1	895,0,60,1	0,0,60,896	
Fold4	60,896,0,0	896,39,21,0	896,36,24,0	896,34,26,0	896,31,29,0	896,30,30,0	896,29,31,0	896,27,33,0	896,26,34,0	896,25,35,0	896,25,35,0	896,25,35,0	896,25,35,0	896,24,36,0	896,24,36,0	896,23,37,0	896,23,37,0	896,23,37,0	896,22,38,0	896,22,38,0	896,20,40,0	896,20,40,0	896,19,41,0	896,18,42,0	896,17,43,0	896,16,44,0	896,16,44,0	896,16,44,0	896,16,44,0	896,16,44,0	896,16,44,0	896,15,45,0	896,15,45,0	896,15,45,0	896,15,45,0	896,15,45,0	896,15,45,0	896,15,45,0	896,14,46,0	896,13,47,0	896,13,47,0	896,13,47,0	896,13,47,0	896,13,47,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,10,50,0	896,9,51,0	896,9,51,0	896,9,51,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,7,53,0	896,7,53,0	896,7,53,0	896,7,53,0	896,7,53,0	896,7,53,0	896,7,53,0	896,6,54,0	896,5,55,0	896,5,55,0	896,4,56,0	896,4,56,0	896,4,56,0	896,3,57,0	896,3,57,0	896,2,58,0	896,2,58,0	896,2,58,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	896,1,59,0	895,1,59,1	895,1,59,1	895,1,59,1	895,0,60,1	0,0,60,896	
Fold5	60,896,0,0	896,38,22,0	896,31,29,0	896,28,32,0	896,28,32,0	896,28,32,0	896,27,33,0	896,27,33,0	896,27,33,0	896,25,35,0	896,24,36,0	896,21,39,0	896,21,39,0	896,20,40,0	896,19,41,0	896,19,41,0	896,19,41,0	896,19,41,0	896,19,41,0	896,19,41,0	896,19,41,0	896,18,42,0	896,18,42,0	896,18,42,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,17,43,0	896,15,45,0	896,15,45,0	896,14,46,0	896,14,46,0	896,14,46,0	896,14,46,0	896,14,46,0	896,14,46,0	896,14,46,0	896,14,46,0	896,14,46,0	896,13,47,0	896,13,47,0	896,13,47,0	896,13,47,0	896,13,47,0	896,13,47,0	896,12,48,0	896,12,48,0	896,12,48,0	896,11,49,0	896,11,49,0	896,10,50,0	896,9,51,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,8,52,0	896,7,53,0	896,6,54,0	896,5,55,0	896,5,55,0	896,5,55,0	896,5,55,0	896,4,56,0	896,4,56,0	896,4,56,0	896,4,56,0	896,4,56,0	896,4,56,0	896,4,56,0	896,4,56,0	896,3,57,0	896,3,57,0	896,2,58,0	896,2,58,0	896,2,58,0	896,2,58,0	896,2,58,0	896,2,58,0	896,2,58,0	896,2,58,0	896,2,58,0	896,1,59,0	0,0,60,896	
Fold6	59,897,0,0	897,43,16,0	897,41,18,0	897,40,19,0	897,37,22,0	897,35,24,0	897,33,26,0	897,31,28,0	897,30,29,0	897,30,29,0	897,29,30,0	897,29,30,0	897,29,30,0	897,29,30,0	897,28,31,0	897,28,31,0	897,28,31,0	897,28,31,0	897,28,31,0	897,28,31,0	897,27,32,0	897,27,32,0	897,27,32,0	897,27,32,0	897,25,34,0	897,24,35,0	897,24,35,0	897,24,35,0	897,24,35,0	897,22,37,0	897,22,37,0	897,22,37,0	897,21,38,0	897,21,38,0	897,21,38,0	897,20,39,0	897,20,39,0	897,20,39,0	897,20,39,0	897,20,39,0	897,20,39,0	897,20,39,0	897,19,40,0	897,19,40,0	897,19,40,0	897,19,40,0	897,19,40,0	897,19,40,0	897,19,40,0	897,18,41,0	897,17,42,0	897,16,43,0	897,15,44,0	897,15,44,0	897,15,44,0	897,15,44,0	897,15,44,0	897,15,44,0	897,15,44,0	897,15,44,0	897,15,44,0	897,14,45,0	897,14,45,0	897,14,45,0	897,13,46,0	897,13,46,0	897,12,47,0	897,11,48,0	897,11,48,0	897,11,48,0	897,10,49,0	897,10,49,0	897,10,49,0	897,8,51,0	897,8,51,0	897,7,52,0	897,7,52,0	897,6,53,0	897,5,54,0	897,5,54,0	897,5,54,0	897,5,54,0	897,4,55,0	897,3,56,0	897,3,56,0	897,3,56,0	897,3,56,0	897,3,56,0	897,3,56,0	897,3,56,0	897,3,56,0	897,2,57,0	897,2,57,0	897,2,57,0	897,2,57,0	897,2,57,0	897,1,58,0	897,1,58,0	897,1,58,0	897,1,58,0	0,0,59,897	
Fold7	59,896,0,0	896,41,18,0	896,38,21,0	896,38,21,0	896,37,22,0	896,37,22,0	896,35,24,0	896,34,25,0	896,34,25,0	896,32,27,0	896,31,28,0	896,29,30,0	896,29,30,0	896,29,30,0	896,28,31,0	896,28,31,0	896,28,31,0	896,27,32,0	896,26,33,0	896,26,33,0	896,25,34,0	896,25,34,0	896,24,35,0	896,23,36,0	896,23,36,0	896,23,36,0	896,23,36,0	896,23,36,0	896,23,36,0	896,20,39,0	896,20,39,0	896,20,39,0	896,20,39,0	896,20,39,0	896,20,39,0	896,20,39,0	896,19,40,0	896,19,40,0	896,19,40,0	896,19,40,0	896,18,41,0	896,17,42,0	896,17,42,0	896,17,42,0	896,17,42,0	896,16,43,0	896,16,43,0	896,16,43,0	896,16,43,0	896,15,44,0	896,15,44,0	896,14,45,0	896,14,45,0	896,14,45,0	896,14,45,0	896,14,45,0	896,14,45,0	896,13,46,0	896,13,46,0	896,13,46,0	896,13,46,0	896,13,46,0	896,13,46,0	896,12,47,0	896,12,47,0	896,12,47,0	896,12,47,0	896,11,48,0	896,11,48,0	896,10,49,0	896,10,49,0	896,10,49,0	896,10,49,0	896,10,49,0	896,10,49,0	896,10,49,0	896,10,49,0	896,8,51,0	896,5,54,0	896,5,54,0	896,5,54,0	896,3,56,0	896,3,56,0	896,3,56,0	896,3,56,0	896,3,56,0	896,3,56,0	895,3,56,1	895,3,56,1	895,3,56,1	895,3,56,1	895,3,56,1	895,3,56,1	895,2,57,1	895,1,58,1	895,1,58,1	895,1,58,1	895,1,58,1	895,1,58,1	895,1,58,1	0,0,59,896	
Fold8	59,896,0,0	896,44,15,0	896,42,17,0	896,40,19,0	896,40,19,0	896,39,20,0	896,39,20,0	896,37,22,0	896,37,22,0	896,37,22,0	896,35,24,0	896,35,24,0	896,35,24,0	896,35,24,0	896,34,25,0	896,33,26,0	896,32,27,0	896,32,27,0	896,32,27,0	896,32,27,0	896,32,27,0	896,32,27,0	896,32,27,0	896,32,27,0	896,32,27,0	895,32,27,1	895,32,27,1	895,31,28,1	895,31,28,1	895,31,28,1	895,31,28,1	895,31,28,1	895,29,30,1	895,29,30,1	895,29,30,1	895,29,30,1	895,29,30,1	895,28,31,1	895,28,31,1	895,28,31,1	895,26,33,1	895,26,33,1	895,26,33,1	895,26,33,1	895,26,33,1	895,26,33,1	895,26,33,1	895,25,34,1	895,25,34,1	895,25,34,1	895,25,34,1	895,24,35,1	895,23,36,1	895,23,36,1	895,22,37,1	895,22,37,1	895,21,38,1	895,21,38,1	895,21,38,1	895,21,38,1	895,21,38,1	895,20,39,1	895,20,39,1	895,18,41,1	895,18,41,1	895,17,42,1	895,17,42,1	895,16,43,1	895,15,44,1	895,15,44,1	895,15,44,1	895,15,44,1	895,15,44,1	895,15,44,1	895,15,44,1	895,14,45,1	895,14,45,1	895,14,45,1	895,14,45,1	895,14,45,1	895,10,49,1	895,9,50,1	895,8,51,1	895,8,51,1	895,6,53,1	895,5,54,1	895,5,54,1	895,5,54,1	895,4,55,1	895,3,56,1	895,3,56,1	895,2,57,1	895,2,57,1	895,1,58,1	895,1,58,1	895,0,59,1	895,0,59,1	895,0,59,1	895,0,59,1	895,0,59,1	0,0,59,896	
Fold9	59,896,0,0	896,40,19,0	896,36,23,0	896,36,23,0	896,35,24,0	896,34,25,0	896,34,25,0	896,33,26,0	896,33,26,0	896,33,26,0	896,31,28,0	896,31,28,0	896,31,28,0	896,29,30,0	896,29,30,0	896,29,30,0	896,28,31,0	896,28,31,0	896,27,32,0	896,27,32,0	896,25,34,0	896,25,34,0	896,24,35,0	896,23,36,0	896,23,36,0	896,22,37,0	896,22,37,0	896,21,38,0	896,18,41,0	896,18,41,0	896,18,41,0	896,17,42,0	896,17,42,0	896,16,43,0	896,15,44,0	896,15,44,0	896,14,45,0	896,13,46,0	896,13,46,0	896,13,46,0	896,13,46,0	896,13,46,0	896,13,46,0	896,13,46,0	896,13,46,0	896,12,47,0	896,12,47,0	896,12,47,0	896,12,47,0	896,12,47,0	896,12,47,0	896,12,47,0	896,11,48,0	896,11,48,0	896,10,49,0	896,10,49,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,9,50,0	896,7,52,0	896,7,52,0	896,7,52,0	896,7,52,0	896,7,52,0	896,7,52,0	896,7,52,0	896,6,53,0	896,5,54,0	896,3,56,0	896,3,56,0	896,3,56,0	896,3,56,0	896,3,56,0	896,3,56,0	896,2,57,0	896,2,57,0	896,2,57,0	896,2,57,0	896,2,57,0	896,2,57,0	896,2,57,0	896,2,57,0	896,2,57,0	896,2,57,0	896,2,57,0	896,2,57,0	896,1,58,0	896,0,59,0	896,0,59,0	0,0,59,896	
Fold10	59,896,0,0	896,45,14,0	896,41,18,0	896,38,21,0	896,38,21,0	896,37,22,0	896,37,22,0	896,36,23,0	896,36,23,0	896,36,23,0	896,36,23,0	896,36,23,0	896,36,23,0	896,35,24,0	896,34,25,0	896,34,25,0	896,34,25,0	896,32,27,0	896,32,27,0	896,32,27,0	896,32,27,0	896,32,27,0	896,32,27,0	896,31,28,0	896,30,29,0	896,30,29,0	896,29,30,0	896,29,30,0	896,29,30,0	896,29,30,0	896,29,30,0	896,29,30,0	896,28,31,0	896,28,31,0	896,28,31,0	896,28,31,0	896,26,33,0	896,25,34,0	896,25,34,0	896,23,36,0	896,23,36,0	896,22,37,0	896,21,38,0	896,20,39,0	896,20,39,0	896,20,39,0	896,20,39,0	896,19,40,0	896,19,40,0	896,19,40,0	896,19,40,0	896,19,40,0	896,19,40,0	896,17,42,0	896,17,42,0	896,17,42,0	896,17,42,0	896,17,42,0	896,17,42,0	896,17,42,0	896,16,43,0	896,16,43,0	896,16,43,0	896,16,43,0	896,16,43,0	896,16,43,0	896,16,43,0	896,15,44,0	896,15,44,0	896,15,44,0	896,15,44,0	896,13,46,0	896,12,47,0	896,12,47,0	896,11,48,0	896,11,48,0	896,11,48,0	896,11,48,0	896,11,48,0	896,11,48,0	896,11,48,0	896,10,49,0	896,9,50,0	896,9,50,0	896,9,50,0	896,8,51,0	896,7,52,0	896,6,53,0	896,6,53,0	896,4,55,0	896,4,55,0	896,2,57,0	896,1,58,0	896,1,58,0	896,1,58,0	896,0,59,0	896,0,59,0	896,0,59,0	896,0,59,0	895,0,59,1	0,0,59,896	
