Class	Code	Description	PatientsAssociatedWith
Positive	03I	Opticians	278
Positive	137E	Tobacco consumption unknown	61
Positive	13AB	Diabetic lipid lowering diet	107
Positive	24E6	O/E - R.post.tib.pulse present	177
Positive	24E8	O/E - R.dorsalis pedis present	189
Positive	24EB	O/E - right foot pulses present	75
Positive	29B1	O/E - tactile sensation normal	598
Positive	29BA	10g monofilament sensation L foot abnormal	280
Positive	29H	O/E - vibration sense	71
Positive	29H1	O/E - vibration sense normal	1002
Positive	29H2	O/E - vibration sense reduced	168
Positive	29H3	O/E - vibration sense absent	73
Positive	29H4	O/E - Vibration sense of right foot abnormal	100
Positive	29H5	O/E - Vibration sense of right foot normal	561
Positive	29H8	O/E - vibration sense left foot reduced	53
Positive	2BB4	O/E - retinal microaneurysms	90
Positive	2BBB	O/E - Right retina not seen	55
Positive	2BBC	O/E - Left retina not seen	58
Positive	2BBJ	O/E - no right diabetic retinopathy	1494
Positive	2BBK	O/E - no left diabetic retinopathy	1455
Positive	2BBL	O/E - diabetic maculopathy present both eyes	88
Positive	2BBM	O/E - diabetic maculopathy absent both eyes	434
Positive	2BBP	O/E - right eye background diabetic retinopathy	402
Positive	2BBQ	O/E - left eye background diabetic retinopathy	430
Positive	2BBR	O/E - right eye preproliferative diabetic retinopathy	63
Positive	2BBS	O/E - left eye preproliferative diabetic retinopathy	57
Positive	2BBW	O/E - right eye diabetic maculopathy	119
Positive	2BBX	O/E - left eye diabetic maculopathy	121
Positive	2G5F	O/E - Right diabetic foot at moderate risk	398
Positive	2G5G	O/E - Right diabetic foot at high risk	84
Positive	2G5J	O/E - Left diabetic foot at moderate risk	376
Positive	2G5K	O/E - Left diabetic foot at high risk	78
Positive	31282	Dilated fundoscopy normal	106
Positive	31283	Camera fundoscopy	372
Positive	3129	Eye fundus photography	574
Positive	312E	Direct fundoscopy following mydriatic	189
Positive	312F	Camera fundoscopy	145
Positive	42W1	Hb. A1C < 7% - good control	185
Positive	42W3	Hb. A1C > 10% - bad control	87
Positive	42c0	HbA1 < 7% - good control	69
Positive	42c1	HbA1 7 - 10% - borderline control	179
Positive	44E9	Plasma total bilirubin level	56
Positive	44OE	Plasma total cholesterol level	63
Positive	44U5	Blood glucose 7-9.9 mmol/L	104
Positive	44U6	Blood glucose 10-13.9 mmol/L	70
Positive	4667	Urine glucose test = ++++	307
Positive	467E	Urine protein level	232
Positive	46NZ	Urine protein NOS	71
Positive	66A5	Diabetic on insulin	1921
Positive	66AV	Diabetic on insulin and oral treatment	212
Positive	66Ac	Diabetic peripheral neuropathy screening	670
Positive	679L	Health education - diabetes	190
Positive	67I7	Advice about foot care	988
Positive	8A18	Self monitoring of urine glucose	869
Positive	8A19	Self monitoring of blood and urine glucose	67
Positive	8BL2	Patient on maximal tolerated therapy for diabetes	843
Positive	8CAS	Advised to attend for retinal screening	68
Positive	8H4F	Referral to diabetologist	349
Positive	8H7C	 diabetic liaison nurse"	116
Positive	8H7f	Referral to diabetes nurse	195
Positive	8H7r	Refer to diabetic foot screener	361
Positive	8H7s	Referral to physical activity programme	70
Positive	8HBG	Diabetic retinopathy 12 month review	287
Positive	8HBH	Diabetic retinopathy 6 month review	52
Positive	8Hj0	Referral to diabetes structured education programme	166
Positive	8Hl1	Referral for diabetic retinopathy screening	130
Positive	8I3W	Diabetic foot examination declined	351
Positive	8I3X	Diabetic retinopathy screening refused	494
Positive	8I6F	Diabetic retinopathy screening not indicated	154
Positive	9N08	Seen in chiropody clinic	74
Positive	9N2P	Seen by chiropodist	549
Positive	9N4p	Did not attend diabetic retinopathy clinic	221
Positive	9NNB	Under care of ophthalmologist	64
Positive	9NND	Under care of diabetic foot screener	530
Positive	9OLD	Diabetic patient unsuitable for digital retinal photography	213
Positive	9h41	Excepted from diabetes qual indicators: Patient unsuitable	359
Positive	9h42	Excepted from diabetes quality indicators: Informed dissent	444
Positive	AHDIAB01	Unknown vendor specific drug	74
Positive	BINSCMY1	Unknown vendor specific drug	64
Positive	BINSCOP1	Unknown vendor specific drug	51
Positive	BINSCUR2	Unknown vendor specific drug	73
Positive	CAM/6443NEMIS	Cardura Xl  M/R tablets  8 mg	120
Positive	CANA11907NEMIS	Calcitonin (Salmon, Synthetic)  Nasal spray  200 units/metered dose, 2 ml	60
Positive	D41z	Blood dyscrasia NOS	69
Positive	DEAQ19474EMIS	Seton  Aquadry leg bags, long tube  500 ml, 783528	100
Positive	E2620	Cardiac neurosis	149
Positive	EMISHGT204	Unknown vendor specific drug	59
Positive	EMISNQCH20	Unknown vendor specific drug	116
Positive	EMISNQDV1	Unknown vendor specific drug	55
Positive	EMISSPR301	Unknown vendor specific drug	93
Positive	F2626	[X]Tension type headache	748
Positive	F26yz	Other forms of migraine NOS	1425
Positive	F26z	Migraine NOS	88
Positive	F2800	Arachnoid cyst	198
Positive	F283	Encephalopathy unspecified	134
Positive	F286	Chronic fatigue syndrome	64
Positive	F2W	"Drug-induced headache	55
Positive	G667	Left sided CVA	110
Positive	G671	Generalised ischaemic cerebrovascular disease NOS	609
Positive	G73	Other peripheral vascular disease	184
Positive	G730	Raynaud's syndrome	448
Positive	G7301	Raynaud's phenomenon	90
Positive	G730z	Raynaud's syndrome NOS	87
Positive	G733	Ischaemic foot	193
Positive	G73y	Other specified peripheral vascular disease	187
Positive	G73y2	Acrocyanosis	103
Positive	G73y8	Erythromelalgia	157
Positive	G73z	Peripheral vascular disease NOS	3204
Positive	H41	Asbestosis	76
Positive	H410	Pleural plaque disease due to asbestosis	69
Positive	H43z	Pneumoconiosis due to inorganic dust NOS	105
Positive	H51	Pleurisy	53
Positive	H51z	Pleural effusion NOS	93
Positive	H570	Rheumatoid lung	83
Positive	H58z	Lung disease NOS	161
Positive	HUPE31141EMIS	Human Mixtard 30  Penfill cartridges (3 ml)	66
Positive	HUPE31144EMIS	Human Mixtard 40  Penfill cartridges (3 ml)	218
Positive	HUPE31301EMIS	Human Insulatard Ge  Penfill cartridges (3 ml)  100 units/ml	121
Positive	HYCA17686NEMIS	Hydroxycarbamide  Capsules  500 mg	82
Positive	HYIN1399	Hydrocortistab  Injection  25 mg/ml, 1 ml ampoule	198
Positive	L11	Antepartum h'ge/placenta praev	88
Positive	L111	Placenta praevia with haemorrhage	64
Positive	L115	Antepartum haemorrhage with uterine leiomyoma	170
Positive	L11z	Antepartum haemorrhage NOS	321
Positive	L12z3	Unspecified hypertension in preg/childb/puerp - not deliv	64
Positive	L1421	Early onset of delivery - delivered	84
Positive	L16A2	 preg-del+p/n com"	179
Positive	LATA10173BRIDL	Lariam  Tablets  250 mg	93
Positive	M020	Cellulitis and abscess of finger	77
Positive	M07z0	Infection foot	1802
Positive	M212	Acquired acanthosis nigricans	71
Positive	M2130	Skin striae of distension	251
Positive	M21yC	Insulin lipohypertrophy	123
Positive	MEIN20460EMIS	Methylprednisolone Acetate  Injection  120 mg/3 ml vial	78
Positive	NATA1943	Natrilix  Tablets  2.5 mg	226
Positive	NATA31094EMIS	Naratriptan Hydrochloride  Tablets  2.5 mg	217
Positive	NATA5182	Nabumetone  Tablets  500 mg	465
Positive	NATA5189	Naproxen Sodium  Tablets  275 mg	295
Positive	PE62	Congenital talipes calcaneovalgus	132
Positive	PE73	Congenital claw foot	85
Positive	PE81	"Pectus carinatum	278
Positive	PEDI27558NEMIS	Peak Ultrasmooth Meatal Dilator  Dilatation catheter without drainage eyes  12 ch, USMD12	268
Positive	PRTA2345	Priadel  M/R tablets  400 mg	52
Positive	PUJINRE4	Unknown vendor specific drug	53
Positive	PUJINRE6	Unknown vendor specific drug	54
Positive	Pyu70	[X]Other cystic kidney diseases	311
Positive	Pz	Congenital anomaly NOS	89
Positive	S352B	Closed fracture metatarsal base	331
Positive	TC52	Fall on same level from stumbling	217
Positive	ed42	ISONIAZID 100mg tablets	94
Positive	ed6f	RIFINAH-300 tablets	114
Positive	ej5z	PROGUANIL 100mg tablets	97
Positive	ej81	MEFLOQUINE HYDROCHLORIDE 250mg tablets	63
Positive	ejB2	MALARONE tablets	109
Positive	f122	HYPURIN NEUTRAL 100iu/mL injection 10mL	77
Positive	f128	HUMAN ACTRAPID 100iu/mL penfill cartridges	108
Positive	f12A	HUMAN ACTRAPID 100iu/mL penfill cartridges 1.5mL	58
Positive	f12U	EXUBERA 1mg powder for inhalation	59
Positive	f12V	EXUBERA 3mg powder for inhalation	144
Positive	f134	HUMALOG 100iu/mL cartridges 1.5mL	264
Positive	f135	HUMALOG 100iu/mL cartridges 3mL	1413
Positive	f25f	*HUMULIN M2 injection 10mL	727
Positive	f3A5	GLIMEPIRIDE 4mg tablets	94
Positive	f3A6	AMARYL 1mg tablets	167
Positive	f3a1	TOLBUTAMIDE 500mg tablets	107
Positive	f411	GLUCOPHAGE 500mg tablets	278
Positive	f417	GLUCOPHAGE SR 500mg m/r tablets	103
Positive	f419	GLUCOPHAGE SR 750mg m/r tablets	177
Positive	f41A	GLUCOPHAGE SR 1000mg m/r tablets	181
Positive	f41y	METFORMIN HYDROCHLORIDE 500mg tablets	83
Positive	fe4c	SOLU-CORTEF 100mg injection	79
Positive	fe5V	Unknown vendor specific drug	166
