Coefficient	Code	Description
3.6472	66A5	Diabetic on insulin
3.3770	C108	Insulin dependent diabetes mellitus
2.8745	HEWITCA1	Unknown vendor specific drug
-2.8512	MACA8841BRIDL	Maxepa  Capsules  1 gram
2.8139	ei1o	ACICLOVIR 800mg tablets
2.4165	MEOR11311NEMIS	Metoprolol Tartrate  Oral solution  12.5 mg/5 ml
2.2443	C1000	Diab.mell.no comp. - juvenile
2.1589	NIM/19826EMIS	Nifedipine  M/R tablets  30 mg
2.1004	L398	Caesarean delivery
2.0590	9i	Ethnic category - 2001 census
-1.9360	f27g	HUMULIN M4 40/60 cartridges 1.5mL
1.6455	NIM/28058EMIS	Nifedipine  M/R tablets  10 mg
-1.5405	66A4	Diabetic on oral treatment
-1.5331	f2Ay	INSULIN DETEMIR 100iu/mL prefilled pen
1.5322	F3610	Charcot-Marie-Tooth disease
1.4806	SETA8968EMIS	Seroxat  Tablets  20 mg
1.4503	9NC1	Letter sent to consultant
1.4302	A0812	Gastroenteritis - presumed infectious origin
1.4085	32G1	ECG: U wave normal
1.3797	f25q	HUMAN INSULATARD PENFILL cartridges 1.5mL
1.1189	L245	Cervical incompetence
1.0841	HYTA8712EGTON	Hytrin  Tablets  5 mg
1.0111	AMTA113	Amiodarone  Tablets  200 mg
-0.9820	9S6	Indian
0.9694	BETA363	Bezalip-Mono  M/R tablets  400 mg
-0.9417	GEIN3636	Gentamicin  Injection  40 mg/1 ml ampoule
-0.9268	66A3	Diabetic on diet only
-0.7629	bi71	FOSINOPRIL 10mg tablets
0.7448	L40	Major puerperal infection
0.6692	8H89	Follow-up 4-6 months
0.6375	Eu	[X]Mental and behavioural disorders
0.6292	EllioBR1	Unknown vendor specific drug
0.6285	9hA2	Excepted from asthma quality indicators: Informed dissent
-0.6173	ADM/19822EMIS	Adalat La  M/R tablets  30 mg
0.6152	8I6F	Diabetic retinopathy screening not indicated
0.5424	STTA9316EMIS	Staril  Tablets  10 mg
0.5226	9h42	Excepted from diabetes quality indicators: Informed dissent
-0.4339	GASTOTR2	Unknown vendor specific drug
0.4197	9N57	Admin reason for encounter
0.3973	4281	MCH - normal
-0.3853	bxdI	INEGY 10mg/40mg tablets
0.3646	NITR22504EMIS	Nicabate  Transdermal patches  21 mg
0.3583	ALCA74	Alfacalcidol  Capsules  250 nanograms
0.3526	9h41	Excepted from diabetes qual indicators: Patient unsuitable
0.3409	44E3	Total bilirubin
-0.3049	bi94	GOPTEN 500micrograms capsules
0.3011	CAIN4919NEMIS	Caverject Dual Chamber  Injection  20 micrograms/dose
0.2997	EZTA20282NEMIS	Ezetimibe And Simvastatin  Tablets  10 mg + 80 mg
0.2988	HONI879NEMIS	Hollister Urostomy  Night drainage bags  5550
-0.2866	9NS2	Patient offered choice of provider
-0.2619	G86	Noninfective lymphatic disorders
-0.2198	bh62	DOXAZOSIN 2mg tablets
0.1615	8H46	Neurological referral
-0.1556	66C9	Target weight discussed
-0.1450	DIM/30235EMIS	Diltiazem Hydrochloride  M/R tablets  60 mg
-0.1443	9Nd0	Verbal consent for examination
0.1340	PE00	Asymmetry of face
-0.1098	bi27	INNOVACE 20mg tablets x28
0.0726	R009	[D]Confusion
-0.0573	8H72	Refer to district nurse
0.0515	136M	Current non drinker
-0.0281	C109	Non-insulin dependent diabetes mellitus
0.0000	1377	Ex-trivial smoker (<1/day)
0.0000	137B	Ex-very heavy smoker (40+/day)
0.0000	137J	Cigar smoker
0.0000	1388	Aerobic exercise 0 times/week
0.0000	13A3	Weight reducing diet
0.0000	13A5	Low salt diet
0.0000	1A12	Frequency of micturition
0.0000	1A25	Urgency
0.0000	1A26	Urge incontinence of urine
0.0000	1A52	Renal colic
0.0000	1B1A	Memory loss - amnesia
0.0000	1FB	Diet poor
0.0000	1Z1	Chronic renal impairment
0.0000	1Z1E	Chronic kidney disease stage 3A without proteinuria
0.0000	1Z1G	Chronic kidney disease stage 3B without proteinuria
0.0000	22K1	Body Mass Index normal K/M2
0.0000	22K7	Body mass index 40+ - severely obese
0.0000	2465	O/E - BP borderline raised
0.0000	246A	O/E - Diastolic BP reading
0.0000	2BBS	O/E - left eye preproliferative diabetic retinopathy
0.0000	31283	Camera fundoscopy
0.0000	4258	Haematocrit
0.0000	426	Red blood cell (RBC) count
0.0000	42A1	MCV - normal
0.0000	42N	Monocyte count
0.0000	42U	Blood folate
0.0000	42W1	Hb. A1C < 7% - good control
0.0000	42W2	Hb. A1C 7-10% - borderline
0.0000	42Z7	Red blood cell distribution width
0.0000	44AF	Brain natriuretic peptide level
0.0000	44J7	Albumin / creatinine ratio
0.0000	44LA	Serum vitamin D
0.0000	44LP	Serum 25-Hydroxy vitamin D3 level
0.0000	44U5	Blood glucose 7-9.9 mmol/L
0.0000	44f0	Serum random glucose level
0.0000	4612	Urinalysis requested
0.0000	4613	Urinalysis = no abnormality
0.0000	46N7	Urine protein/creatinine index
0.0000	46W2	Microalbumin excretion rate
0.0000	4JJ	Urine sample for organism
0.0000	67I9	Advice about weight
0.0000	6872	Diabetes mellitus screen
0.0000	6879	Hyperlipidaemia screen
0.0000	79280	Percut transluminal balloon angioplasty one coronary artery
0.0000	7936	Introduction of cardiac pacemaker system via vein
0.0000	7B2A8	Check cystoscopy using flexible instrument
0.0000	8A18	Self monitoring of urine glucose
0.0000	8D74	Indwelling urethral catheter
0.0000	8H22	Admit surgical emergency unsp.
0.0000	8H4K	Referred to endocrinologist
0.0000	8H71	Refer to practice nurse
0.0000	8H7D	Refer to osteopath
0.0000	8H7H	Refer to optician
0.0000	8H7r	Refer to diabetic foot screener
0.0000	8HB2	Medical follow-up
0.0000	8HBG	Diabetic retinopathy 12 month review
0.0000	8HE	Discharged from hospital
0.0000	8I3Q	Pneumococcal vaccination declined
0.0000	8I3W	Diabetic foot examination declined
0.0000	9N0d	Seen in open access surgery
0.0000	9N11	Seen in GP's surgery
0.0000	9N2S	Seen by practice phlebotomist
0.0000	9N2k	Seen by smoking cessation advisor
0.0000	9N32	Third party encounter
0.0000	9N37	Message given to patient
0.0000	9N3D	Letter received
0.0000	9NC3	Letter sent to patient
0.0000	9NE7	Via external post:letter to
0.0000	9NNB	Under care of ophthalmologist
0.0000	9S12	Other white ethnic group
0.0000	9S2	Black Caribbean
0.0000	9SZ	Ethnic groups (census) NOS
0.0000	9h02	Excepted from CHD quality indicators: Informed dissent
0.0000	9hE0	Except chronic kidney disease qual indic: Patient unsuitable
0.0000	9i1	Irish - ethnic category 2001 census
0.0000	9iC	African - ethnic category 2001 census
0.0000	A07y0	Viral gastroenteritis
0.0000	ASDI223	Aspirin  Dispersible tablets  300 mg
0.0000	ASTA5694	Aspirin Dispersible Low Dose  Tablets  75 mg
0.0000	BAFL30203EMIS	Bard  Flip-flo catheter valve  bff5
