Coefficient	Code	Description
2.1027	C108	Insulin dependent diabetes mellitus
1.9096	66A5	Diabetic on insulin
1.5867	9i	Ethnic category - 2001 census
1.5440	C1000	Diab.mell.no comp. - juvenile
1.3496	32G1	ECG: U wave normal
1.2661	ei1o	ACICLOVIR 800mg tablets
1.2583	f25q	HUMAN INSULATARD PENFILL cartridges 1.5mL
1.1546	HEWITCA1	Unknown vendor specific drug
-1.1211	66A4	Diabetic on oral treatment
-1.0041	f27g	HUMULIN M4 40/60 cartridges 1.5mL
-0.9782	MACA8841BRIDL	Maxepa  Capsules  1 gram
-0.9552	66A3	Diabetic on diet only
0.9504	L398	Caesarean delivery
0.8727	K03y2	Other interstitial nephritis
-0.8043	9S6	Indian
0.7275	NIM/19826EMIS	Nifedipine  M/R tablets  30 mg
0.7109	8I6F	Diabetic retinopathy screening not indicated
-0.6766	GEIN3636	Gentamicin  Injection  40 mg/1 ml ampoule
0.6717	PE00	Asymmetry of face
0.6683	MEOR11311NEMIS	Metoprolol Tartrate  Oral solution  12.5 mg/5 ml
0.6554	9NC1	Letter sent to consultant
-0.6293	f2Ay	INSULIN DETEMIR 100iu/mL prefilled pen
0.5779	9hE0	Except chronic kidney disease qual indic: Patient unsuitable
0.5658	L40	Major puerperal infection
0.5652	CAIN4919NEMIS	Caverject Dual Chamber  Injection  20 micrograms/dose
0.5535	9h42	Excepted from diabetes quality indicators: Informed dissent
0.5403	NIM/28058EMIS	Nifedipine  M/R tablets  10 mg
0.5254	F3610	Charcot-Marie-Tooth disease
0.4790	9hA2	Excepted from asthma quality indicators: Informed dissent
0.4521	SETA8968EMIS	Seroxat  Tablets  20 mg
0.4520	F132z	Myoclonus NOS
0.4418	9N57	Admin reason for encounter
0.3923	44E3	Total bilirubin
0.3738	42U	Blood folate
0.3693	9N2k	Seen by smoking cessation advisor
0.3409	HYTA8712EGTON	Hytrin  Tablets  5 mg
0.3356	ALCA74	Alfacalcidol  Capsules  250 nanograms
0.3321	EllioBR1	Unknown vendor specific drug
-0.2668	C109	Non-insulin dependent diabetes mellitus
0.2658	Eu	[X]Mental and behavioural disorders
0.2586	NITR22504EMIS	Nicabate  Transdermal patches  21 mg
0.2521	4281	MCH - normal
0.2486	L245	Cervical incompetence
0.2163	EZTA20282NEMIS	Ezetimibe And Simvastatin  Tablets  10 mg + 80 mg
0.1909	HONI879NEMIS	Hollister Urostomy  Night drainage bags  5550
0.1624	8H89	Follow-up 4-6 months
