0	Occupations	38623
01	Top managers	811
011	National gov't. top managers	6
0111	Minister of the crown	35
0112	Member of parliament	4
0113	Senior civil servant	238
011Z	Nat. gov't. general admin. NOS	57
012	Local gov't.- top managers	26
0121	Local gov't.- chief executive	4
012Z	Local gov't.- top manager NOS	13
013	Top managers - business	170
0131	Chairman of company board	9
0132	Managing director	157
0133	Company director	386
0134	General manager	181
013Z	Top manager - business NOS	56
01Z	Other top managers	145
02	Management support professions	2607
021	Legal service	109
0211	Judge	7
0212	Officer of the court	16
0213	Counsel	104
0214	Solicitor	656
0215	Parliamentary counsel	1
0216	Parliamentary agent	1
0217	Barrister's clerk	11
0218	Solicitor's managing clerk	10
021Z	Legal service NOS	42
022	Adjudicators	3
0221	Housing/planning inspector	13
0223	Appeals tribunal chairman	1
0226	Inquiry commission member	1
022Z	Adjudicator NOS	2
023	Company secretaries	48
0231	Company secretary	92
0232	Town clerk	6
0233	General secretary -trade union	36
0234	Secretary - trade association	7
0235	Secretary - professional body	159
0236	Secretary-charity organisation	14
0237	Company registrar	1
0238	Stocks and bonds registrar	2
023Z	Company secretary NOS	7
024	Accountants	276
0241	Accountant manager	142
0242	Accountant	1231
0243	Cost accountant	12
0244	Accountant trainee	70
024Z	Accountant NOS	59
025	Estimators/valuers/assessors	30
0251	Estimator manager	8
0252	Engineering estimator	10
0253	Valuer	12
0254	Insurance assessor	19
0255	Average adjuster	2
025Z	Estimator/valuer/assessor NOS	11
026	Finance/investment specialists	394
0261	Stockbroker	35
0262	Stockjobber	1
0264	Broker	44
0265	Investment advisor	51
0266	Investment analyst	50
0267	Trust officer	3
026Z	Finance/invest. specialist NOS	83
027	Insurance/tax specialist	59
0271	Insurance broker	82
0272	Insurance underwriter	37
0273	Inspector of taxes	16
0274	Tax consultant	12
027Z	Insurance/tax specialist NOS	6
028	Personel/industrial relations	59
0281	Personnel manager	91
0282	Personnel officer	70
0283	Industrial relations officer	3
0284	Personnel trainee	4
028Z	Personnel/indust.relat. NOS	13
029	Organisation/work study spec.	40
0291	Operational research officer	16
0292	Organisation/methods officer	12
0293	Work study officer	4
0294	Methods engineer	36
0295	Work measurement engineer	14
0296	Objectives analyst manager	5
0297	Standards engineer	49
0298	Value analyst	5
0299	Network analyst	28
029A	Occupational analyst	18
029B	Work study trainee	4
029Z	Organisation/work study NOS	7
02A	Economists/statistic/actuaries	1
02A1	Economist	36
02A2	Statistician	12
02A3	Actuary	42
02B	Systems analyst/computer prog.	60
02B1	Data processing manager	24
02B2	Systems analyst	142
02B3	Computer programmer	497
02B4	Computer trainee	13
02BZ	System analyst/comp.prog. NOS	25
